variable,distance,rho,ci_low,ci_high,ci_width,I,Neff
closeness_500,500,-0.7037546467791784,-0.7561197277763129,-0.6413296264875271,0.11479010128878575,0.20951469082328486,27558
close_N1_500,500,-0.11381255918890155,-0.15758122536980518,-0.0658824061401729,0.09169881922963227,0.1800089436432019,29301
close_N1.2_500,500,0.5025542664676816,0.4252712483867791,0.5651086690861812,0.13983742069940208,0.5276535480670015,13037
close_N2_500,500,0.6673077193768202,0.5972041358620314,0.7244066772565977,0.12720254139456633,0.8398120304468336,3671
harmonic_500,500,0.6455055285158185,0.5744999514083035,0.7044148429018625,0.12991489149355906,0.7970834645858389,4761
gravity_500,500,0.625357492079895,0.552607320650736,0.6848453042370688,0.13223798358633276,0.7854783124472213,5066
betw_500,500,0.5758513149045871,0.5240202959008862,0.6205945914619512,0.096574295561065,0.46409627176850826,15434
betw_wt_500,500,0.5468339562443514,0.4904719237385873,0.594108289704527,0.10363636596593973,0.46954761771949255,15220
NACH_500,500,0.5164549312211233,0.4674137662785256,0.5596116126898593,0.09219784641133366,0.28476840709466655,23474
closeness_1000,1000,-0.759460286634433,-0.8041590238325939,-0.7042359778348387,0.09992304599775514,0.12808958206973992,32591
close_N1_1000,1000,-0.001763800185737003,-0.07214447508989047,0.08521685777997709,0.15736133286986756,0.18767911068961615,28840
close_N1.2_1000,1000,0.6133730698143098,0.5369150084131542,0.6751985648814136,0.1382835564682594,0.4226674110997491,17111
close_N2_1000,1000,0.7706038661705823,0.7119755316241759,0.8208559259428475,0.10888039431867158,0.7932914303098049,4860
harmonic_1000,1000,0.7436755025478329,0.6824185701573471,0.7967207668336419,0.11430219667629482,0.7444187745349016,6178
gravity_1000,1000,0.7288626197197335,0.6660091256508265,0.7812555688884557,0.11524644323762923,0.7215653835318367,6819
betw_1000,1000,0.5905927431438477,0.5477450239939661,0.6309646050113616,0.08321958101739557,0.33725045399880027,20898
betw_wt_1000,1000,0.5904660070145662,0.5428116176445514,0.6332840877311341,0.09047247008658266,0.3583385107417394,19919
NACH_1000,1000,0.5017874058751569,0.46221210013017716,0.5384688095575351,0.0762567094273579,0.13672678320232454,32023
closeness_2000,2000,-0.7704123411314944,-0.8200193861351548,-0.7052633853796859,0.11475600075546888,0.06414747770019315,37083
close_N1_2000,2000,0.14801022788708706,0.05401571949931337,0.24236508797535625,0.1883493684760429,0.14744304453658685,31330
close_N1.2_2000,2000,0.69415361593878,0.6184161838252364,0.7518298797889389,0.13341369596370245,0.3486722234323486,20364
close_N2_2000,2000,0.8252386404926308,0.776903459388459,0.8640094208091679,0.08710596142070892,0.7302706927212926,6573
harmonic_2000,2000,0.8253342296249734,0.7762938938377232,0.8657086683721379,0.08941477453441471,0.665690484444623,8463
gravity_2000,2000,0.8159077898567653,0.7643444169344544,0.857658619409693,0.09331420247523858,0.627128431342317,9662
betw_2000,2000,0.5359794917875047,0.49193759437547424,0.5779365603777094,0.08599896600223511,0.181366837835621,29219
betw_wt_2000,2000,0.5760870888105547,0.5324385614124751,0.6168773696276401,0.08443880821516492,0.21073239761556542,27488
NACH_2000,2000,0.4377405021574684,0.40219100256434354,0.4724558081233514,0.07026480555900788,0.060963172625150434,37321
